id_tweet,majority,source,tweet_text
1342486544800763910,not_sure,Twitter for iPhone," Bigotry has made this one a really miserable git!  And what’s more, he is flaunting his stupidity on Twitter by posting these screenshots!"
1342514028850143232,non_homophobic,Twitter for iPhone,Not me having to explain to my family that they can’t just use the word ‘faggot’ casually on Christmas Day.
1342497348115603456,non_homophobic,Twitter for iPhone,me realizing that i only took pictures today when i wash BRUSHING MY TEETH
1361421250678038528,non_homophobic,Twitter Web App," The maga movement is a domestic terrorist movement full of hate, fascism, bigotry, discrimination, violence, disruption of Gov & murdering insurrectionist. The movement is non American putting a fascist like trump ahead of our country & its citizens. Shame on them all. #Candyman"
1361052507791781888,non_homophobic,Twitter for Android,  You are a little southern fag. Stop the maga terrorism- Now!! NO TO YOUR DUMB SHIT!!! #VoteHimOut #LindseyGrahamIsATraitor
1342505572776730626,non_homophobic,Twitter for Android," So sorry, don't let their small mindedness and bigotry ruin your day."
1361182002804842496,non_homophobic,Twitter Web App," If I paid you 5 million dollars, would you publicly proclaim your love for Trump's MAGA bigotry?"
1342461191919181825,non_homophobic,Twitter for Android,"i'm so pissed istg i don't understand why people try so hard not to take bts seriously like why is it so hard for them to see bts like any other big pop act? why are they so fucking stubborn?? why is it so hard for them to see their own bigotry and prejudice for what it is???"
1342503163266555909,not_sure,Twitter for iPhone,"  Gay shouldn’t be used as an insult, they’re such fag-"
1342468301000232960,non_homophobic,Twitter for iPhone,  That’s mean
1342458894509993984,non_homophobic,Twitter for Android, Maybe we like dividends fag
1342475471796269057,homophobic,Twitter for iPhone,  are we doing this again you faggot
1342435978573729792,non_homophobic,Twitter for iPhone," You have an awesome Christmas, you deserve a break, a rest and some gorgeous self-care. Let’s come back fighting hatred and bigotry against in 2021! 💝"
1342427903900995585,non_homophobic,Twitter for iPhone,Yessss! I’m a faggot forever and i love it 
1342415160569434112,non_homophobic,Twitter for iPhone,They are doing this song dirty on the Spotify made playlists because it has faggot in it smh 
1342433302431428608,non_homophobic,Twitter Web App,"WB CM Mamata Banerjee writes to Nobel laureate Amartya Sen;says,""Some nouveau invaders in Visva Bharati have started raising surprising&baseless allegations about your familial properties...I want to express my solidarity with you in your battles against bigotry of majoritarians"" "
1342424836010893312,homophobic,Twitter for Android, If you stare at the picture for a few seconds you can actually smell the stale fag smoke...
1342407517008224257,not_sure,Twitter for iPhone,2020 has been disaster of a year but the worst part of it is when they removed “you cheap lousy faggot” from the Pogues.
1342425002545717248,not_sure,Fanbooster by Traject,"""Blood on her hands"".  lies distortions and exhortations creating hate and bigotry which generated physical attacks on Churches, like plowing into a children’s nursery by a madwoman egged on by Remini. #hatemonger #Bigotry "
1342370470147072001,non_homophobic,Twitter for iPhone, consider this a sign HDBSHDJW
1342428850928701441,not_sure,"Cheap Bots, Done Quick!",skimbleshanks the faggot cat
1342379496133984256,not_sure,Twitter for Android,santa just came in and called me a fag
1342368519388876800,non_homophobic,Twitter for Android,"    This is where it all started, let me call your attention that first, religion bigotry, stop claiming religion supremacy, every religion is to serve the Almighty God, stop religion bigotry, blame human not religion."
1342369593919156225,homophobic,Twitter for iPhone,   He’s a faggot
1342345813612240896,not_sure,Twitter for iPhone,"""homophobic is ok"" pls tell me theres a /j — YALL PLEASE I AM A FAG "
1342399656874147840,non_homophobic,Twitter for Android,"     My statements are based in fact, you just refuse to acknowledge it. I'm not saying he doesn't deserve a voice I'm saying he deserves harsh criticism for his bigotry."
1342329540845178880,non_homophobic,Twitter for Android,"my mother didn't let me do my eyeliner for this dinner cause people didn't have to know im a faggot ahahaha loool don't y'all love when your mother calls you slurs unprovokedly ?"
1342349346998607874,not_sure,Twitter for iPhone,   I am literally bi fuck off fag
1342343864229748736,non_homophobic,Twitter Web App,Anambra CAN accuses Obiano of religious bigotry 
1342321000311115777,not_sure,Twitter for iPhone,if we’re eating the rich and i look over to see that you own a kitchenaid you’re going in that bitch and getting eaten
1342326766493380613,not_sure,Twitter for iPhone,   Yeah cuz calling someone a faggot is much better than someone having a punctual issue in a sentence you dumb inbread piece of shit stfu
1342336328512495616,non_homophobic,Twitter for iPhone,it’s ass fag vampire 
1342337082145071105,non_homophobic,Twitter for iPhone," Hot, thanks"
1342267602056269824,non_homophobic,Twitter Web App,did you just call me a faggot 
1342265909730275328,homophobic,Twitter for iPhone,  You sound like a faggot Jew
1342313498437693444,non_homophobic,Twitter for iPhone,  *of bigotry
1342278367261970433,homophobic,Twitter Web App,"  Its over 50 years since i paid a penny/halfpenny for a fag and a match ,"
1342259566877270025,homophobic,Twitter for iPhone,Bet your bottom dollar know I’ll be tagging and speaking with contacts(after Xmas bank holidays and weekend)   Cus this faggot has fight in them 💕💪  10/
1342278278585999360,non_homophobic,Twitter for Android,"Like, numerous economists throughout history have written countless articles about how bigotry, slavery, etc. actively undermine the economy and should be rooted out, yet random Twitter leftists try to tie these things together."
1342278712163753986,non_homophobic,Twitter for iPhone, Still no answer to what have you given to this country or are you just reaping rewards of actual patriotism that not a cover for bigotry. I do appreciate an upfront racist though. I don’t have to agree to respect your idea. it’s them closeted racist that i can’t stand. lol
1342285624284307456,not_sure,Twitter for iPhone, Greed and Bigotry but they are going rep what they so 🦶🏾
